'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'1','PALMERITAS DEUBEL 180G','6','D:\Fotos\ALMACEN\DEUBEL\1 9 8.jpg'
'17','PAN DULCE  DEUBEL C/CHOCOLATE 400G','6',''
'19','PAN DULCE DEUBEL C/FRUTAS 400G','6',''
'25','PAN DULCE LIMIDO FRUTA 400G','6',''
'26','TORTA DE COCO DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'27','TORTA DE NARANJA DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'28','TORTA DULCE DE LECHE DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'29','TORTA DE CHOCOLATE DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'42','PAN DULCE LIMIDO CHOCOLATE 350G','6',''
'53','ALFAJOR SANTAFESINO DEUBEL X12U','6',''
'77','GOMITAS PLENARIO TUTI FRUTTI 800G','10',''
'78','GOMITAS PLENARIO ANIMALITOS 800G','10',''
'79','GOMITAS PLENARIO FRUTAL 800G','10',''
'80','GOMITAS PLENARIO POTE GUSANITOS 700G','12',''
'82','GOMITAS PLENARIO POTE BESITOS DE FRESA','12',''
'101','BIZCOCHITOS CAMPEON 300G','21',''
'108','SALVADO LEIVA 345G TRIPACK','12','D:\Fotos\ALMACEN\GALLETITAS\108 109 117 118 119 120.jpg'
'109','MARINERA S/SAL LEIVA 330G TRIPACK','12','D:\Fotos\ALMACEN\GALLETITAS\108 109 117 118 119 120.jpg'
'112','OBLEA ZUPAY DULCE DE LECHE 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'113','OBLEA ZUPAY LIMON 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'114','OBLEA ZUPAY VAINILLA 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'115','OBLEA ZUPAY CHOCOLATE 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'116','OBLEA ZUPAY FRUTILLA 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'117','GALL SANDWICH LEIVA FAMILIAR 300G','16','D:\Fotos\ALMACEN\GALLETITAS\108 109 117 118 119 120.jpg'
'118','TRIPACK SANDWICH LEIVA 330G','12','D:\Fotos\ALMACEN\GALLETITAS\108 109 117 118 119 120.jpg'
'120','SANWICH LEIVA LIGHT 330G','12','D:\Fotos\ALMACEN\GALLETITAS\108 109 117 118 119 120.jpg'
'121','TOSTADAS MESA MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'122','TOSTADAS DULCES MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'123','TOSTADAS SALVADO MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'124','TOSTADAS SIN SAL MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'125','TOSTADAS LIGHT MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'150','GRASITAS DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\150.jpg'
'151','GRASIDUL DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\151.jpg'
'152','NEGRITAS DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\152.jpg'
'155','GRISINES MALTEADOS GRISSINOPOLI 180G','20','D:\Fotos\ALMACEN\GALLETITAS\155 156.jpg'
'156','GRISINES SALVADO GRISSINOPOLI 180G','20','D:\Fotos\ALMACEN\GALLETITAS\155 156.jpg'
'157','GRISINES SIN SAL GRISSINOPOLI X180G','20',''
'160','DELICIAS DE LA NONNA RELL. VAINILLAS 160','24',''
'161','DELICIAS DE LA NONNA RELL. CHOCOLATE 160','24',''
'162','DELICIAS DE LA NONNA RELL. FRUTILLA 160','24',''
'163','DELICIAS DE LA NONNA RELL. MOUSE 160','24',''
'167','MINI PITUSAS BLACK X 140G','30',''
'168','MINI PITUSAS JALEA X 140G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'169','MINI PITUSAS MERENGUE X 120G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'170','MINI PITUSAS LIMON X160G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'171','MINI PITUSAS CHOCOL X160G','30','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'172','MINI PITUSAS FRUTILLA X160G','30','D:\Fotos\ALMACEN\GALLETITAS\171 172 195 196 197.jpg'
'173','MINI PITUSAS MOUSSE X160G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'174','MINI PITUSAS VAINILLA X160G','30','D:\Fotos\ALMACEN\GALLETITAS\168 170 169 173 174.jpg'
'176','MARMOLADAS PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179 180 181 182.jpg'
'178','MINI MANTECADO PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179 180 181 182.jpg'
'179','COCO PAR NOR X170G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179 180 181 182.jpg'
'180','MOROCHITAS PAR NOR X140G','30','D:\Fotos\ALMACEN\GALLETITAS\176 178 179 180 181 182.jpg'
