'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'607','CHOC. COFLER AIR LECHE 55G','10.0000','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\607.jpg'
'608','CHOC. COFLER AIR BON O BON  67G','10.0000','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\608.jpeg'
'609','CHOC. COFLER AIR TOFI DDL 70G','10.0000','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\609.jpg'
'622','MAYONESA NATURA DE 250CC','12.0000','D:\Fotos\ALMACEN\ADEREZOS\622.jpg'
'838','COFLER BLOCK 110G LE/MANI','12.0000','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\838.jpg'
'840','COFLER BLOCK 38G MANI X 20U','12.0000','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\840.jpg'
'863','ARROZ SAN JAVIER 500G','10.0000','D:\Fotos\ALMACEN\ARROZ\863.jpg'
'864','ARROZ SAN JAVIER 1000G','10.0000','D:\Fotos\ALMACEN\ARROZ\864.jpeg'
'977','ARROZ MAGISTRAL X 500G','10.0000','D:\Fotos\ALMACEN\ARROZ\977.jpg'
'978','ARROZ MAGISTRAL  1000G','10.0000','D:\Fotos\ALMACEN\ARROZ\978.jpg'
'995','ACEITE DE OLIVA ANITA 500CC','12.0000','D:\Fotos\ALMACEN\ACEITES Y VINAGRES\995.jpg'
'1147','ARROZ PELEADOR 500G','10.0000','D:\Fotos\ALMACEN\ARROZ\1147.jpg'
'1198','ARROZ MOCOVI ROJO 1000G','10.0000','D:\Fotos\ALMACEN\ARROZ\1198.jpg'
'1199','ARROZ MOCOVI ROJO 500G','20.0000','D:\Fotos\ALMACEN\ARROZ\1199.jpg'
'1200','ARROZ MOCOVI AZUL 500G','20.0000','D:\Fotos\ALMACEN\ARROZ\1200.jpg'
'1201','ARROZ MOCOVI AZUL 1000G','10.0000','D:\Fotos\ALMACEN\ARROZ\1201.jpg'
'1202','ARROZ PELEADOR 1000G','10.0000','D:\Fotos\ALMACEN\ARROZ\1202.jpg'
'1267','ACEITE ALSAMAR 1500CC','12.0000','D:\Fotos\ALMACEN\ACEITES Y VINAGRES\1267.jpg'
'1271','ACEITE FAMILIAR MEZCLA X 900CC','12.0000','D:\Fotos\ALMACEN\ACEITES Y VINAGRES\1271.jpg'
'1275','TOMATE TRITURADO DAN MARCO X 1L','8.0000','D:\Fotos\ALMACEN\1275.jpg'
'1380','HELLMANNS MAYONESA 237G','12.0000','D:\Fotos\ALMACEN\ADEREZOS\1380.jpg'
'1381','SAVORA MOSTA ORIG 250G','12.0000','D:\Fotos\ALMACEN\ADEREZOS\1381.jpg'
'1382','SAVORA 60G DISPLAY 30U','1.0000','D:\Fotos\ALMACEN\ADEREZOS\1382.jpg'
'1384','KETCHUP HELLMANS 60G 30U DISPLAY','1.0000','D:\Fotos\ALMACEN\ADEREZOS\1384.jpg'
'1387','HELLMANNS MAYONESA 500G','15.0000','D:\Fotos\ALMACEN\ADEREZOS\1387.jpg'
'1388','HELLMANNS MAYO LIGHT 237G','12.0000','D:\Fotos\ALMACEN\ADEREZOS\1388.jpg'
'1389','ROCIO VEGETAL NATURA 120G','12.0000','D:\Fotos\ALMACEN\ACEITES Y VINAGRES\1389.jpg'
'1396','KETCHUP HELLMANS 250G','12.0000','D:\Fotos\ALMACEN\ADEREZOS\1396.jpg'
'1397','HELLMANS LIGHT MAYONESA  500G','15.0000','D:\Fotos\ALMACEN\ADEREZOS\1397.jpg'
'1411','EXTRACTO DOBLE TOMATE VIGENTE 150G','12.0000','D:\Fotos\ALMACEN\1411.jpg'
