'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'10','PALMERITAS DEUBEL 180G','6',''
'16','PAN DULCE CON FRUTAS DEUBEL 600G','6','D:\Fotos\ALMACEN\DEUBEL\16.jpg'
'17','PAN DULCE  DEUBEL C/CHOCOLATE 400G','6','D:\Fotos\ALMACEN\DEUBEL\17.jpg'
'19','PAN DULCE DEUBEL C/FRUTAS 400G','6',''
'21','PAN DULCE CON ALMENDRAS DEUBEL 500G','4',''
'24','PAN DULCE DON ENRIQUE 1KG','4',''
'25','PAN DULCE LIMIDO FRUTA 400G','6',''
'26','TORTA DE COCO DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'27','TORTA DE NARANJA DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'28','TORTA DULCE DE LECHE DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'29','TORTA DE CHOCOLATE DEUBEL 400G','4','D:\Fotos\ALMACEN\DEUBEL\29 26 27 28.jpg'
'32','BUDIN C/FRUTAS DEUBEL 250G','12','D:\Fotos\ALMACEN\DEUBEL\32 33 34 35.jpg'
'33','BUDIN SIN FRUTAS DEUBEL 250G','12','D:\Fotos\ALMACEN\DEUBEL\32 33 34 35.jpg'
'34','BUDINES MARMOLADOS DEUBEL 250G','12','D:\Fotos\ALMACEN\DEUBEL\32 33 34 35.jpg'
'35','BUDIN C/CHIPS CHOCO DEUBEL 250G','12','D:\Fotos\ALMACEN\DEUBEL\32 33 34 35.jpg'
'42','PAN DULCE LIMIDO CHOCOLATE 350G','6',''
'53','ALFAJOR SANTAFESINO DEUBEL X12U','6','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\53.jpg'
'77','GOMITAS PLENARIO TUTI FRUTTI 800G','10','D:\Fotos\GOLOSINAS\VARIOS\78 79 77.jpg'
'78','GOMITAS PLENARIO ANIMALITOS 800G','10','D:\Fotos\GOLOSINAS\VARIOS\78 79 77.jpg'
'79','GOMITAS PLENARIO FRUTAL 800G','10','D:\Fotos\GOLOSINAS\VARIOS\78 79 77.jpg'
'80','GOMITAS PLENARIO POTE GUSANITOS 700G','12',''
'82','GOMITAS PLENARIO POTE BESITOS DE FRESA','12',''
'94','CAJA NAVIDEÑA N° 1','1',''
'95','CAJA NAVIDEÑA N°2','1',''
'96','CAJA NAVIDEÑA N°3','1',''
'97','CAJA NAVIDEÑA DABB','1',''
'98','CAJA DE CARTON DABB NAVIDEÑA','1',''
'101','BIZCOCHITOS CAMPEON 300G','21',''
'105','ANCHOAS BELLEZA DEL MAR 90G','24',''
'108','SALVADO LEIVA 345G TRIPACK','12','D:\Fotos\ALMACEN\GALLETITAS\119 108 109.jpg'
'109','MARINERA S/SAL LEIVA 330G TRIPACK','12','D:\Fotos\ALMACEN\GALLETITAS\119 108 109.jpg'
'112','OBLEA ZUPAY DULCE DE LECHE 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'113','OBLEA ZUPAY LIMON 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'114','OBLEA ZUPAY VAINILLA 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'115','OBLEA ZUPAY CHOCOLATE 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'116','OBLEA ZUPAY FRUTILLA 100G','30','D:\Fotos\ALMACEN\GALLETITAS\111 115 112 116 113 114.jpg'
'117','GALL SANDWICH LEIVA FAMILIAR 300G','16','D:\Fotos\ALMACEN\GALLETITAS\118 120 117.jpg'
'118','TRIPACK SANDWICH LEIVA 330G','12','D:\Fotos\ALMACEN\GALLETITAS\118 120 117.jpg'
'120','SANWICH LEIVA LIGHT 330G','12','D:\Fotos\ALMACEN\GALLETITAS\118 120 117.jpg'
'121','TOSTADAS MESA MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'122','TOSTADAS DULCES MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'123','TOSTADAS SALVADO MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'124','TOSTADAS SIN SAL MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'125','TOSTADAS LIGHT MANIERI 225G','12','D:\Fotos\ALMACEN\TOSTADAS Y MADALENAS\121 122 123 124 125.jpg'
'150','GRASITAS DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\152 151 150 .jpg'
'151','GRASIDUL DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\152 151 150 .jpg'
'152','NEGRITAS DON SATUR 200G','30','D:\Fotos\ALMACEN\GALLETITAS\152 151 150 .jpg'
'155','GRISINES MALTEADOS GRISSINOPOLI 180G','20','D:\Fotos\ALMACEN\GALLETITAS\155 156.jpg'
'156','GRISINES SALVADO GRISSINOPOLI 180G','20','D:\Fotos\ALMACEN\GALLETITAS\155 156.jpg'
'157','GRISINES SIN SAL GRISSINOPOLI X180G','20',''
'160','DELICIAS DE LA NONNA RELL. VAINILLAS 160','24','D:\Fotos\ALMACEN\GALLETITAS\160 161 162 163.jpg'
